Areaname,FIPS,Total_Area_sq_mi_LND010190D,LND010200D,LND110180D,LND110190D,Land_Area_sq_mi_LND110200D,LND110210D,Water_Area_sq_miLND210190D,LND210200D
"Montgomery, KS",20125,651.45,651.4,645.77,645.26,645.2,643.53,6.19,6.19
"Morris, KS",20127,702.9,702.84,692.73,697.44,697.38,695.28,5.46,5.46
"Morton, KS",20129,729.99,729.94,731.13,729.97,729.92,729.73,0.02,0.02
"Nemaha, KS",20131,719.43,719.4,718.59,719.07,717.99,717.43,0.36,1.41
"Neosho, KS",20133,578.09,578.02,576.12,571.92,571.75,571.47,6.17,6.27
"Ness, KS",20135,1075.07,1075,1074.47,1074.81,1074.75,1074.75,0.26,0.26
"Norton, KS",20137,881.42,881.39,872.79,877.87,877.84,878.13,3.55,3.55
"Osage, KS",20139,719.29,719.23,694.87,703.6,703.5,705.52,15.69,15.72
"Osborne, KS",20141,894.31,894.28,881.78,892.61,892.39,892.5,1.7,1.89
"Ottawa, KS",20143,721.94,721.9,720.74,721.18,721.11,720.73,0.76,0.79
"Pawnee, KS",20145,754.6,754.56,754.84,754.22,754.17,754.26,0.38,0.38
"Phillips, KS",20147,894.84,894.81,886.71,886.26,886.23,885.88,8.58,8.58
"Pottawatomie, KS",20149,862.12,862.07,827.71,844.29,844.24,841.02,17.83,17.83
"Pratt, KS",20151,735.79,735.76,735.17,735.03,734.99,735.05,0.76,0.76
"Rawlins, KS",20153,1069.79,1069.72,1069.36,1069.68,1069.62,1069.42,0.11,0.11
"Reno, KS",20155,1271.33,1271.25,1258.75,1254.51,1254.42,1255.35,16.82,16.84
"Republic, KS",20157,720.36,720.31,718.58,716.55,716.38,717.37,3.81,3.93
"Rice, KS",20159,728.33,728.3,728.06,726.61,726.58,726.24,1.72,1.72
"Riley, KS",20161,622.15,622.11,593.1,609.64,609.55,609.77,12.51,12.55
"Rooks, KS",20163,895.4,895.36,888.48,888.38,888.34,890.53,7.02,7.02
"Rush, KS",20165,718.45,718.42,717.99,718.24,718.21,717.76,0.21,0.21
"Russell, KS",20167,899.03,898.98,869.34,884.74,884.68,886.26,14.29,14.3
"Saline, KS",20169,721.32,721.28,721.23,719.65,719.61,720.23,1.67,1.67
"Scott, KS",20171,717.7,717.64,717.54,717.58,717.52,717.54,0.12,0.12
"Sedgwick, KS",20173,1009.48,1009.41,1007.24,1000.25,999.38,997.51,9.23,10.03
"Seward, KS",20175,640.55,640.51,640.09,639.56,639.52,639.5,0.99,0.99
"Shawnee, KS",20177,556.35,556.32,548.77,549.85,549.82,544.02,6.5,6.5
"Sheridan, KS",20179,896.66,896.61,896.13,896.41,896.36,895.96,0.25,0.25
"Sherman, KS",20181,1056.08,1056.01,1056.88,1055.87,1055.8,1056.07,0.21,0.21
"Smith, KS",20183,896.56,896.53,896.87,895.46,895.43,895.47,1.1,1.1
"Stafford, KS",20185,794.77,794.72,787.56,792.1,792.05,792.05,2.67,2.67
"Stanton, KS",20187,680.12,680.06,680.65,680.06,680,680.35,0.06,0.06
"Stevens, KS",20189,727.78,727.71,727.49,727.6,727.53,727.29,0.18,0.18
"Sumner, KS",20191,1184.86,1184.78,1183.46,1181.89,1181.81,1181.94,2.97,2.98
"Thomas, KS",20193,1074.97,1074.9,1074.62,1074.86,1074.78,1074.69,0.11,0.11
"Trego, KS",20195,899.09,899.02,890.34,888.36,888.29,889.48,10.73,10.73
"Wabaunsee, KS",20197,799.86,799.8,797.13,797.46,797.38,794.3,2.4,2.41
"Wallace, KS",20199,914.12,914.05,913.59,914.07,913.99,913.65,0.05,0.05
"Washington, KS",20201,898.88,898.84,898.48,898.5,898.46,894.76,0.38,0.38
"Wichita, KS",20203,718.59,718.54,718.54,718.57,718.52,718.57,0.02,0.02
"Wilson, KS",20205,575.04,574.97,574.93,573.91,573.81,570.42,1.13,1.17
"Woodson, KS",20207,505.5,505.45,498.04,500.65,500.61,497.82,4.85,4.85
"Wyandotte, KS",20209,155.7,155.69,149.08,151.4,151.39,151.6,4.3,4.3
KENTUCKY,21000,40411.24,40409.02,39669.24,39732.31,39728.18,39486.34,678.93,680.85
"Adair, KY",21001,412.25,412.23,407.34,406.86,406.84,405.28,5.39,5.39
"Allen, KY",21003,352.06,352.04,337.83,346.14,346.12,344.34,5.92,5.92
"Anderson, KY",21005,204.3,204.28,204.07,202.69,202.67,201.83,1.61,1.61
"Ballard, KY",21007,273.62,273.6,253.93,251.18,251.16,246.66,22.44,22.44
"Barren, KY",21009,499.95,499.93,482.03,490.96,490.97,487.54,8.99,8.96
"Bath, KY",21011,283.96,283.94,277.43,279.44,279.46,278.79,4.52,4.48
"Bell, KY",21013,361.36,361.35,360.8,360.78,360.77,359,0.58,0.58
"Boone, KY",21015,256.98,256.96,245.75,246.27,246.26,246.36,10.71,10.7
"Bourbon, KY",21017,291.68,291.66,291.51,291.45,291.43,289.72,0.23,0.23
"Boyd, KY",21019,161.83,161.82,160.41,160.19,160.17,159.86,1.64,1.65
"Boyle, KY",21021,182.71,182.99,182.09,181.62,181.9,180.17,1.09,1.09
"Bracken, KY",21023,208.91,208.89,202.9,203.24,203.22,205.61,5.67,5.67
"Breathitt, KY",21025,495.32,495.29,495.15,495.23,495.19,492.41,0.09,0.09
"Breckinridge, KY",21027,585.55,585.53,564.78,572.43,572.41,567.17,13.12,13.12
"Bullitt, KY",21029,300.21,300.2,300.47,299.13,299.08,297.02,1.08,1.12
"Butler, KY",21031,431.54,431.52,431.28,428.1,428.08,426.09,3.44,3.44
"Caldwell, KY",21033,348.2,348.18,347.28,347,346.98,344.79,1.2,1.2
"Calloway, KY",21035,410.81,410.79,385.96,386.28,386.25,385.02,24.53,24.53
"Campbell, KY",21037,159.44,159.43,151.58,151.56,151.55,151.31,7.88,7.87
"Carlisle, KY",21039,199.03,199.02,190.8,192.5,192.49,189.43,6.53,6.54
"Carroll, KY",21041,137.28,137.27,129.67,130.1,130.09,128.57,7.18,7.18
"Carter, KY",21043,412.17,412.15,406.89,410.62,410.6,409.5,1.55,1.55
"Casey, KY",21045,445.75,445.73,445.28,445.63,445.61,444.23,0.12,0.12
"Christian, KY",21047,724.05,724.01,722.19,721.36,721.32,717.5,2.69,2.69
"Clark, KY",21049,255.18,255.16,255.17,254.33,254.31,252.46,0.85,0.85
"Clay, KY",21051,471.09,471.08,470.89,471.02,471.01,469.25,0.07,0.07
"Clinton, KY",21053,205.55,205.54,196.2,197.46,197.46,197.25,8.09,8.09
"Crittenden, KY",21055,370.97,370.95,359.7,362.16,362.14,359.95,8.81,8.81
"Cumberland, KY",21057,310.87,310.85,304.41,305.84,305.82,305.18,5.03,5.02
"Daviess, KY",21059,476.3,476.27,462.5,462.43,462.39,458.35,13.87,13.88
"Edmonson, KY",21061,308.03,308.01,301.78,302.64,302.62,302.88,5.39,5.39
"Elliott, KY",21063,235.22,235.2,234.21,233.99,233.96,234.32,1.23,1.24
"Estill, KY",21065,255.72,255.7,255.65,254.02,253.93,253.08,1.7,1.76
"Fayette, KY",21067,285.53,285.52,284.75,284.52,284.52,283.65,1.01,1
"Fleming, KY",21069,351.49,351.47,350.77,351.07,350.84,348.54,0.42,0.62
"Floyd, KY",21071,395.49,395.46,392.96,394.33,394.29,393.35,1.16,1.16
"Franklin, KY",21073,212.13,212.11,212.08,210.48,210.46,207.75,1.65,1.65
"Fulton, KY",21075,230.56,230.55,211.35,208.96,208.95,205.5,21.6,21.6
"Gallatin, KY",21077,104.68,104.67,99.26,98.84,98.81,101.23,5.84,5.87
"Garrard, KY",21079,233.89,233.88,232.35,231.22,231.21,230.08,2.67,2.67
"Grant, KY",21081,260.75,260.79,259.33,259.89,259.93,257.97,0.86,0.86
"Graves, KY",21083,556.5,556.46,556.6,555.66,555.59,551.74,0.84,0.87
"Grayson, KY",21085,510.86,510.85,493.14,503.69,503.68,496.7,7.17,7.17
"Green, KY",21087,288.8,288.78,288.69,288.75,288.66,286.03,0.05,0.12
"Greenup, KY",21089,354.53,354.51,347,346.22,346.11,344.4,8.31,8.41
"Hancock, KY",21091,198.93,198.92,188.97,188.81,188.8,187.65,10.12,10.12
"Hardin, KY",21093,629.89,629.86,629.23,628.02,627.98,623.28,1.87,1.88
"Harlan, KY",21095,467.98,467.97,468.14,467.2,467.2,465.83,0.78,0.78
"Harrison, KY",21097,309.89,309.88,309.77,309.71,309.68,306.36,0.18,0.2
"Hart, KY",21099,417.93,417.91,412.45,415.95,415.93,412.09,1.98,1.98
"Henderson, KY",21101,467.26,467.24,437.98,440.15,440.12,436.67,27.11,27.11
"Henry, KY",21103,291.13,291.11,290.83,289.34,289.32,286.28,1.79,1.79
"Hickman, KY",21105,252.95,252.94,245.11,244.47,244.44,242.27,8.48,8.49
"Hopkins, KY",21107,554.25,554.23,552.24,550.57,550.56,542,3.68,3.67
"Jackson, KY",21109,346.59,346.57,346.19,346.35,346.33,345.2,0.24,0.24
"Jefferson, KY",21111,398.6,398.58,385.8,385.11,385.09,380.42,13.49,13.49
"Jessamine, KY",21113,174.47,174.45,174.31,173.17,173.13,172.12,1.3,1.32
"Johnson, KY",21115,263.96,263.94,263.93,261.56,261.54,261.95,2.4,2.4
"Kenton, KY",21117,164.97,164.38,163.14,162.57,161.97,160.25,2.4,2.42
"Knott, KY",21119,353.03,353.01,352,352.21,352.19,351.52,0.82,0.82
"Knox, KY",21121,387.72,387.71,387.63,387.68,387.66,386.3,0.04,0.04
"Larue, KY",21123,263.74,263.72,263.47,263.45,263.2,261.52,0.29,0.53
"Laurel, KY",21125,443.77,443.74,434.14,435.7,435.67,433.95,8.07,8.07
"Lawrence, KY",21127,420.16,420.12,420.01,418.86,418.78,415.6,1.3,1.35
"Lee, KY",21129,211.23,211.22,211.22,209.87,209.86,208.86,1.36,1.36
"Leslie, KY",21131,404.37,404.36,401.63,404.04,404.03,400.84,0.33,0.33
"Letcher, KY",21133,339.13,339.12,339.05,339.06,339.04,337.91,0.07,0.07
"Lewis, KY",21135,495.73,495.7,483.78,484.51,484.49,482.84,11.22,11.21
"Lincoln, KY",21137,336.77,336.47,336.69,336.56,336.26,334.1,0.21,0.21
"Livingston, KY",21139,342.22,342.2,311.52,316.11,316.08,313.13,26.11,26.12
"Logan, KY",21141,557.13,557.1,555.98,555.72,555.68,552.13,1.41,1.41
"Lyon, KY",21143,256.47,256.42,209.16,215.75,215.7,213.84,40.72,40.71
"McCracken, KY",21145,268.1,268.08,250.71,251.14,251.02,248.74,16.96,17.05
"McCreary, KY",21147,430.67,430.64,426.61,427.73,427.7,426.8,2.94,2.94
"McLean, KY",21149,256.19,256.17,256.32,254.31,254.3,252.47,1.88,1.88
"Madison, KY",21151,443.14,443.11,442.72,440.72,440.68,437.29,2.42,2.42
"Magoffin, KY",21153,309.46,309.44,309.52,309.45,309.44,308.44,0.01,0.01
"Marion, KY",21155,346.89,346.86,346.8,346.68,346.39,343.01,0.21,0.47
"Marshall, KY",21157,340.33,340.32,303.97,304.92,304.89,301.25,35.41,35.43
"Martin, KY",21159,230.83,230.81,230.47,230.72,230.7,229.61,0.11,0.11
"Mason, KY",21161,246.62,246.6,240.98,241.13,241.11,240.13,5.49,5.49
"Meade, KY",21163,324.24,324.22,306.45,308.53,308.51,305.42,15.71,15.71
"Menifee, KY",21165,206.04,206.03,203.27,203.91,203.9,203.59,2.13,2.13
"Mercer, KY",21167,253.13,253.11,249.82,250.93,250.92,248.8,2.2,2.2
"Metcalfe, KY",21169,290.98,290.96,291.11,290.91,290.9,289.65,0.07,0.07
"Monroe, KY",21171,332.13,332.11,331.38,330.83,330.81,329.37,1.3,1.3
"Montgomery, KY",21173,198.82,198.8,198.7,198.61,198.59,197.37,0.21,0.21
"Morgan, KY",21175,383.76,383.73,382.1,381.32,381.26,381.13,2.44,2.47
"Muhlenberg, KY",21177,479.47,479.43,477.96,474.74,474.72,467.08,4.73,4.71
"Nelson, KY",21179,424.1,424.07,423.55,422.68,422.63,417.51,1.42,1.45
"Nicholas, KY",21181,196.86,196.85,196.62,196.62,196.61,195.17,0.24,0.24
"Ohio, KY",21183,596.75,596.73,595.91,593.81,593.79,587.27,2.94,2.94
"Oldham, KY",21185,196.56,196.54,190.1,189.2,189.19,187.22,7.36,7.36
"Owen, KY",21187,354.18,354.16,353.55,352.17,352.14,351.1,2.01,2.02
"Owsley, KY",21189,198.1,198.09,198.35,198.1,198.09,197.41,0,0
"Pendleton, KY",21191,281.37,281.87,280.58,280.04,280.54,277.16,1.33,1.33
"Perry, KY",21193,342.64,342.64,340.56,342.15,342.15,339.67,0.49,0.49
"Pike, KY",21195,788.89,788.84,784.66,787.73,787.69,786.83,1.16,1.15
"Powell, KY",21197,180.21,180.2,180.11,180.14,180.14,178.98,0.07,0.07
"Pulaski, KY",21199,677.09,677.05,660.23,661.64,661.6,658.41,15.45,15.45
"Robertson, KY",21201,100.11,100.11,100.36,100.07,100.07,99.91,0.04,0.04
"Rockcastle, KY",21203,318.08,318.06,317.68,317.54,317.53,316.55,0.54,0.54
"Rowan, KY",21205,286.27,286.25,282.12,280.84,280.82,279.8,5.43,5.43
"Russell, KY",21207,282.84,282.82,249.81,253.55,253.53,253.66,29.29,29.29
"Scott, KY",21209,285.31,285.3,285.51,285.19,284.72,281.77,0.12,0.57
"Shelby, KY",21211,385.67,385.65,384.88,384.2,384.19,379.64,1.47,1.46
"Simpson, KY",21213,236.21,236.19,236.33,236.21,236.19,234.2,0,0
"Spencer, KY",21215,191.81,191.8,191.68,185.92,185.9,186.68,5.89,5.89
"Taylor, KY",21217,277.06,277.05,270.29,269.84,269.83,266.33,7.22,7.22
"Todd, KY",21219,377,376.97,377,376.38,376.35,374.5,0.62,0.62
"Trigg, KY",21221,481.12,481.13,421.34,443.36,443.12,441.43,37.76,38.01
"Trimble, KY",21223,156.24,156.23,148.43,148.86,148.85,151.65,7.38,7.38
"Union, KY",21225,363.44,363.43,341.16,345.11,345.1,342.85,18.33,18.33
"Warren, KY",21227,547.72,547.69,547.53,545.24,545.21,541.6,2.48,2.48
"Washington, KY",21229,301.54,301.52,300.91,300.61,300.59,297.27,0.93,0.93
"Wayne, KY",21231,484.22,484.2,446.09,459.42,459.4,458.17,24.8,24.8
"Webster, KY",21233,335.7,335.68,336.19,334.72,334.75,331.94,0.98,0.93
"Whitley, KY",21235,445.17,445.15,443.33,440.18,440.15,437.83,4.99,4.99
"Wolfe, KY",21237,222.88,222.86,222.9,222.8,222.78,222.17,0.08,0.08
"Woodford, KY",21239,192,191.98,192.01,190.7,190.68,188.78,1.3,1.3
LOUISIANA,22000,51843.47,51839.7,44521.4,43566.03,43561.85,43203.9,8277.44,8277.85
"Acadia, LA",22001,657.65,657.62,656.75,655.32,655.28,655.12,2.33,2.33
"Allen, LA",22003,765.72,765.67,765.47,764.57,764.5,761.85,1.15,1.17
"Ascension, LA",22005,302.91,302.88,295.99,291.56,291.53,289.98,11.35,11.35
"Assumption, LA",22007,364.59,364.55,342.25,338.72,338.68,338.66,25.87,25.87
"Avoyelles, LA",22009,865.74,865.67,846.41,832.5,832.44,832.43,33.24,33.24
"Beauregard, LA",22011,1166.06,1165.99,1162.74,1160.17,1160.09,1157.34,5.89,5.9
"Bienville, LA",22013,821.83,821.77,815.56,810.71,810.64,811.27,11.12,11.13
"Bossier, LA",22015,867.01,866.93,844.86,838.46,839.25,840.06,28.55,27.68
"Caddo, LA",22017,937.01,936.9,894.05,882.12,881.99,878.54,54.89,54.91
"Calcasieu, LA",22019,1094.42,1094.34,1081.62,1071.2,1071.12,1063.66,23.22,23.22
"Caldwell, LA",22021,540.77,540.72,540.53,529.46,529.42,529.43,11.31,11.3
"Cameron, LA",22023,1931.76,1931.6,1417.03,1313.03,1312.96,1284.89,618.73,618.63
"Catahoula, LA",22025,739.5,739.43,732.06,703.71,703.65,708.03,35.79,35.78
"Claiborne, LA",22027,767.52,767.55,764.73,754.61,754.65,754.88,12.91,12.9
"Concordia, LA",22029,748.74,748.68,717.1,696.38,695.91,696.92,52.36,52.77
"De Soto, LA",22031,894.55,894.49,880.43,877.26,877.2,875.58,17.29,17.29
"East Baton Rouge, LA",22033,470.59,470.54,458.47,455.67,455.43,455.37,14.92,15.11
"East Carroll, LA",22035,442.49,442.45,425.66,421.48,421.44,420.7,21.01,21.01
"East Feliciana, LA",22037,455.72,455.69,455.35,453.43,453.4,453.41,2.29,2.29
"Evangeline, LA",22039,679.64,679.61,667.34,664.31,664.27,662.38,15.33,15.34
"Franklin, LA",22041,635.48,635.43,635.37,623.42,623.61,624.59,12.06,11.82
"Grant, LA",22043,664.6,664.56,652.66,645.12,645.11,643.03,19.48,19.45
"Iberia, LA",22045,1030.94,1030.86,589,575.18,575.13,574.11,455.76,455.73
"Iberville, LA",22047,652.88,652.84,637.54,618.67,618.64,618.63,34.21,34.2
"Jackson, LA",22049,580.38,580.34,578.54,569.96,569.75,569.18,10.42,10.59
"Jefferson, LA",22051,642.42,642.41,347.55,305.92,306.52,295.63,336.5,335.89
"Jefferson Davis, LA",22053,658.62,658.58,655.27,652.36,652.31,651.33,6.26,6.26
"Lafayette, LA",22055,270.32,270.29,269.69,269.86,269.83,268.72,0.46,0.46
"Lafourche, LA",22057,1472.3,1472.19,1140.7,1084.82,1084.68,1068.21,387.48,387.51
"La Salle, LA",22059,662.42,662.36,637.89,623.89,623.83,624.68,38.53,38.54
"Lincoln, LA",22061,472.3,472.27,472.21,471.41,471.38,471.74,0.89,0.89
"Livingston, LA",22063,702.89,702.84,660.71,648.07,648.02,648.17,54.82,54.82
"Madison, LA",22065,650.59,650.53,630.73,624.14,624.09,624.44,26.45,26.45
"Morehouse, LA",22067,805.26,805.2,806.72,794.31,794.25,794.93,10.95,10.95
"Natchitoches, LA",22069,1299.38,1299.3,1263.6,1256.42,1255.45,1252.25,42.96,43.85
"Orleans, LA",22071,350.23,350.21,199.4,180.65,180.56,169.42,169.58,169.66
"Ouachita, LA",22073,632.76,632.7,626.81,610.99,610.53,610.41,21.77,22.17
"Plaquemines, LA",22075,2428.73,2428.54,1034.65,844.64,844.56,779.91,1584.09,1583.98
"Pointe Coupee, LA",22077,590.74,590.68,565.83,557.4,557.34,557.35,33.34,33.34
"Rapides, LA",22079,1362.04,1361.96,1341.27,1322.66,1322.54,1317.96,39.38,39.42
"Red River, LA",22081,402.1,402.08,393.94,388.6,389.29,389.09,13.5,12.79
"Richland, LA",22083,564.55,564.51,563.02,558.5,558.45,559.04,6.05,6.05
"Sabine, LA",22085,1011.59,1011.51,855.09,865.34,865.27,866.66,146.25,146.25
"St. Bernard, LA",22087,1793.84,1793.75,486.41,465.17,465.04,377.52,1328.67,1328.71
"St. Charles, LA",22089,410.18,410.16,286.31,283.65,283.64,279.08,126.53,126.52
"St. Helena, LA",22091,409.49,409.46,409.43,408.4,408.36,408.4,1.09,1.09
"St. James, LA",22093,257.81,257.79,248.14,246.15,246.13,241.54,11.66,11.66
"St. John the Baptist, LA",22095,347.86,347.84,212.91,218.91,218.9,213.07,128.95,128.94
"St. Landry, LA",22097,938.88,938.83,936.04,928.7,928.65,923.88,10.18,10.18
"St. Martin, LA",22099,816.51,816.46,749.14,739.9,739.85,737.65,76.61,76.6
"St. Mary, LA",22101,1118.93,1118.83,612.63,612.94,612.79,555.38,505.99,506.04
"St. Tammany, LA",22103,1124.13,1124.08,873.43,854.44,854.15,845.55,269.69,269.93
"Tangipahoa, LA",22105,823.19,823.12,783.43,790.31,790.24,791.28,32.88,32.88
"Tensas, LA",22107,641.25,641.2,622.71,602.53,602.48,602.78,38.72,38.72
"Terrebonne, LA",22109,2080.08,2079.9,1367.33,1255.06,1254.93,1231.82,825.02,824.97
"Union, LA",22111,905.36,905.28,883.94,877.68,877.6,876.99,27.68,27.68
"Vermilion, LA",22113,1538.42,1538.31,1205.2,1173.87,1173.78,1173.2,364.55,364.53
"Vernon, LA",22115,1341.61,1341.51,1331.57,1328.51,1328.41,1327.91,13.1,13.1
"Washington, LA",22117,676.01,675.97,675.71,669.61,669.57,669.53,6.4,6.4
"Webster, LA",22119,615.13,615.07,602.33,595.93,595.22,593.03,19.2,19.85
"West Baton Rouge, LA",22121,203.64,203.62,193.63,191.22,191.2,192.39,12.42,12.42
"West Carroll, LA",22123,360.35,360.32,359.89,359.43,359.4,359.65,0.92,0.92
"West Feliciana, LA",22125,426.05,426.01,405.7,406.04,406,403.21,20.01,20.01
"Winn, LA",22127,956.98,956.91,952.93,950.55,950.49,950.09,6.43,6.43
MAINE,23000,35387.33,35384.65,30995.02,30864.55,30861.55,30842.92,4522.78,4523.1
"Androscoggin, ME",23001,497.25,497.23,476.74,470.29,470.27,467.93,26.96,26.95
"Aroostook, ME",23003,6829.18,6828.79,6721.31,6671.94,6671.54,6671.33,157.24,157.25
"Cumberland, ME",23005,1217.01,1216.89,876.38,835.59,835.51,835.24,381.42,381.38
"Franklin, ME",23007,1744.46,1744.31,1699.16,1698.01,1697.81,1696.61,46.45,46.5
"Hancock, ME",23009,2351.18,2351.03,1537.21,1589.1,1587.7,1586.89,762.08,763.33
"Kennebec, ME",23011,951.24,951.18,876.37,867.47,867.58,867.52,83.77,83.6
"Knox, ME",23013,1142.07,1142.1,369.76,365.6,365.67,365.13,776.47,776.43
"Lincoln, ME",23015,699.97,699.81,458.21,455.6,455.99,455.82,244.37,243.82
"Oxford, ME",23017,2175.44,2175.26,2053.11,2078.19,2078,2076.84,97.25,97.26
"Penobscot, ME",23019,3556.42,3556.14,3429.73,3396.02,3395.73,3397.36,160.4,160.41
"Piscataquis, ME",23021,4377.71,4377.36,3986.22,3966.53,3966.22,3960.86,411.18,411.14
"Sagadahoc, ME",23023,370.29,370.19,257.09,254.01,253.9,253.7,116.28,116.29
"Somerset, ME",23025,4095.73,4095.37,3930.49,3926.84,3926.5,3924.4,168.89,168.87
"Waldo, ME",23027,852.81,852.74,729.88,729.81,729.73,729.92,123,123.01
"Washington, ME",23029,3255.14,3254.91,2585.84,2568.57,2568.48,2562.66,686.57,686.44
"York, ME",23031,1271.44,1271.34,1007.52,990.99,990.92,990.71,280.45,280.43
MARYLAND,24000,12407.45,12406.68,9836.76,9774.65,9773.82,9707.24,2632.8,2632.86
"Allegany, MD",24001,429.74,429.82,420.76,425.34,425.42,424.16,4.4,4.4
"Anne Arundel, MD",24003,587.91,587.9,418.37,415.96,415.94,414.9,171.95,171.96
"Baltimore, MD",24005,682.08,682.03,597.6,598.59,598.59,598.3,83.49,83.44
"Calvert, MD",24009,345.11,345.09,213.23,215.19,215.17,213.15,129.92,129.91
"Caroline, MD",24011,326.07,326.06,320.79,320.15,320.14,319.42,5.92,5.92
"Carroll, MD",24013,452.43,452.4,451.98,449.16,449.13,447.6,3.27,3.27
"Cecil, MD",24015,417.89,417.88,359.55,348.16,348.13,346.27,69.73,69.75
"Charles, MD",24017,643.27,643.22,451.58,461.09,461,457.75,182.18,182.22
"Dorchester, MD",24019,982.97,982.92,593.22,557.58,557.54,540.77,425.39,425.38
"Frederick, MD",24021,667.4,667.34,662.72,662.95,662.88,660.22,4.45,4.46
"Garrett, MD",24023,656.08,655.9,656.83,648.15,647.96,647.1,7.93,7.94
"Harford, MD",24025,526.74,526.72,447.64,440.37,440.35,437.09,86.37,86.37
"Howard, MD",24027,253.56,253.55,251,252.18,252.04,250.74,1.38,1.51
"Kent, MD",24029,414.32,414.31,278.34,279.44,279.43,277.03,134.88,134.87
"Montgomery, MD",24031,506.22,507.14,495.44,494.57,495.52,491.25,11.65,11.63
"Prince George's, MD",24033,499.42,498.45,487.01,486.4,485.43,482.69,13.02,13.01
"Queen Anne's, MD",24035,509.82,509.79,371.86,372.23,372.21,371.91,137.59,137.58
"St. Mary's, MD",24037,764.54,764.5,372.54,361.29,361.25,357.18,403.25,403.25
"Somerset, MD",24039,610.81,610.78,338.41,327.22,327.21,319.72,283.59,283.56
"Talbot, MD",24041,476.81,476.77,258.62,269.18,269.14,268.54,207.63,207.64
"Washington, MD",24043,467.57,467.55,454.97,458.16,458.14,457.78,9.41,9.41
"Wicomico, MD",24045,399.81,399.79,379.1,377.21,377.17,374.44,22.6,22.62
"Worcester, MD",24047,694.78,694.73,474.86,473.25,473.24,468.28,221.53,221.49
"Baltimore city, MD",24510,92.08,92.08,80.34,80.81,80.8,80.94,11.27,11.27
MASSACHUSETTS,25000,10554.79,10554.57,7824.34,7837.98,7840.02,7800.06,2716.81,2714.55
"Barnstable, MA",25001,1305.52,1305.62,400.33,395.76,395.51,393.72,909.76,910.1
"Berkshire, MA",25003,946.34,946.27,928.97,931.39,931.32,926.83,14.95,14.95
"Bristol, MA",25005,691.26,691.19,556.64,556.04,556,553.1,135.22,135.19
"Dukes, MA",25007,491,490.95,101.64,103.82,103.78,103.25,387.18,387.18
"Essex, MA",25009,828.69,828.53,494.88,498.06,500.67,492.56,330.63,327.86
"Franklin, MA",25011,724.81,724.74,701.76,702.15,702.03,699.32,22.66,22.71
"Hampden, MA",25013,634.17,634.12,618.1,618.52,618.4,617.14,15.65,15.71
"Hampshire, MA",25015,545.47,545.44,528.14,529.03,529.03,527.26,16.44,16.41
"Middlesex, MA",25017,847.63,847.54,821.55,823.55,823.46,817.82,24.08,24.08
"Nantucket, MA",25019,303.28,303.64,47.37,47.79,47.81,44.97,255.49,255.83
"Norfolk, MA",25021,443.97,443.94,399.73,399.61,399.58,396.11,44.36,44.35
"Plymouth, MA",25023,1093.48,1093.39,655.15,660.59,660.85,659.08,432.89,432.54
"Suffolk, MA",25025,120.07,120.19,56.67,58.52,58.52,58.15,61.55,61.68
"Worcester, MA",25027,1579.11,1579.02,1513.41,1513.16,1513.06,1510.77,65.95,65.95
MICHIGAN,26000,96810.22,96716.11,56953.96,56809.18,56803.82,56538.9,40001.04,39912.28
"Alcona, MI",26001,1790.56,1790.54,679.01,674.47,674.43,674.59,1116.09,1116.1
"Alger, MI",26003,5044.37,5049.08,911.66,917.95,917.83,915.07,4126.42,4131.25
"Allegan, MI",26005,1833.51,1833.3,832.05,827.54,827.46,825.23,1005.97,1005.83
"Alpena, MI",26007,1695.05,1695,567.49,574.17,574.15,571.86,1120.88,1120.85
"Antrim, MI",26009,601.94,601.9,480.17,476.95,476.94,475.7,124.99,124.97
"Arenac, MI",26011,680.75,680.81,367.4,366.87,366.84,363.19,313.88,313.97
"Baraga, MI",26013,1069.12,1068.85,900.8,904.16,904,898.26,164.96,164.85
"Barry, MI",26015,576.93,576.9,560.09,556.16,556.14,553.09,20.77,20.77
"Bay, MI",26017,630.98,630.91,447.3,444.27,444.25,442.3,186.71,186.66
"Benzie, MI",26019,859.72,859.64,322.23,321.34,321.31,319.7,538.38,538.32
"Berrien, MI",26021,1581.47,1581.38,576.1,571.03,571,567.75,1010.44,1010.39
